# Blank lines and comment lines in this file are ignored.  The first non-blank,
# non-comment line must be a list of field names.  Otherwise the order of
# entries in this file doesn't matter.  make_awards_list.pl will sort the awards
# for output.
#
# Note: The URL field may contain just a bare date (i.e. the date of a git
# commit) as YYYY-MM-DD, if there's no web URL that refers to the award.

Awardee,URL,Description,Gold star,Plush hippo,Gold watch,Platinum watch,Silver star,Elfyns star,Stinkbomb

AB,https://cygwin.com/ml/cygwin/2005-10/msg00416.html,For &quot;a nice comeback&quot; (<i>a.k.a.</i> seeing that <i>fiddler crab</i>).

AB1,https://cygwin.com/ml/cygwin-apps/2003-07/msg00053.html,For being the first to recompile his package for Cygwin 1.5.0.

AD,https://cygwin.com/ml/cygwin-apps/2015-07/msg00253.html,For helping with the Great Perl Update of 2015.
AD,https://cygwin.com/ml/cygwin-apps/2014-08/msg00133.html,For adopting the `git` package.
AD,https://cygwin.com/ml/cygwin/2014-03/msg00207.html,For good reading skills.

AG,https://cygwin.com/pipermail/cygwin-apps/2023-May/042910.html,For strange and subtle manipulations.,,1
AG,https://cygwin.com/pipermail/cygwin-apps/2021-December/041739.html,For packaging `autoconf2.7` for Cygwin.
AG,https://cygwin.com/pipermail/cygwin-apps/2021-April/041146.html,For updating the URLs in cygport to https.
AG,https://cygwin.com/ml/cygwin-apps/2019-07/msg00025.html,For adopting the `openldap` package.
AG,https://cygwin.com/ml/cygwin-apps/2017-10/msg00057.html,"For adopting the `gnuplot`, `liblzo2`, and `xfig` packages.",3
AG,https://cygwin.com/ml/cygwin-apps/2017-07/msg00049.html,For a heroic 1-2 punch on a bug.
AG,https://cygwin.com/ml/cygwin-apps/2017-06/msg00033.html,For adopting the `protobuf` package.
AG,https://cygwin.com/ml/cygwin-apps/2015-08/msg00016.html,For adopting the `gnucap` package.
AG,https://cygwin.com/ml/cygwin-apps/2015-08/msg00015.html,For adopting the `md5deep` package.
AG,https://cygwin.com/ml/cygwin-apps/2015-07/msg00246.html,For organizing the Great Perl Update of 2015.,,1
AG,https://cygwin.com/ml/cygwin-apps/2015-05/msg00023.html,For adopting the `mosh` package.
AG,https://cygwin.com/ml/cygwin-apps/2015-03/msg00069.html,For adopting the `maxima` package.
